Reference(s),Qty,Description,Value,Manufacturer,MPN,Notes
"C1, C2, C3, C4, C5",5,100 nF Ceramic Capacitor X5R 25V 0805,100n,Generic,,
"C6, C7, C8, C9",4,1 uF Ceramic Capacitor X5R 25V 0805,1u,Generic,,
"C10, C11, C12, C13",4,10uF Ceramic Capacitor X5R 25V 0805,10u,Generic,,
"C14, C15",2,100 nF Ceramic Capacitor 250V 1206,100n 250V,Generic,,
C16,1,22 nF Ceramic Capacitor 25V 0805,22n ,Generic,,
C17,1,240 pF Ceramic Capacitor 25V 0805,240p,Generic,,
C18,1,2.2 nF Ceramic Capacitor 25V 0805,2.2nF,Generic,,
C19,1,330 mF Supercapacitor 5.5V 10mm Dia.,330mF,Elna,DX-5R5H334U,
D1,1,Schottky Diode (Dual) 400 mA 240V SOT23,,Infineon,BAT240AE6327HTSA1,
"D2, D3",2,Schottky Diode 200 mA 30V SOD123,,ON Semiconductor,BAT54T1G,
D4,1,Green LED 0805,,Generic,,
F1,1,250 mA Surface Mount Fuse 1206,250 mA,Generic,,
"J1, J2",2,"0.1"" Header Footprint",NO STUFF (programming ports),,,
J3,1,"0.1"" Female Header 1x3 TH",,Generic,,
J4,1,"0.1"" Female Header 1x4 TH",,Generic,,
J5,1,"Barrel Jack, 2mmx5.5mm TH",,CUI,PJ-064A,
"J101, J102, J103, J104",4,"0.1"" Header Footprint",NO STUFF (efficiency measurement),,,
L1,1,47uH Inductor 2.3A 10.5mm x 10.3mm SMD,47u,Sumida,CDRH105RNP-470NC,
"Q1, Q2, Q3",3,N MOSFET 60V 115 mA SOT23,2N7002,Generic,,
Q4,1,P MOSFET 50V 130 mA SOT23,BSS84,Generic,,
Q5,1,N MOSFET 250V 790 mA SOT223,IRFL214,Vishay Siliconix,IRFL214TRPBF,
"R1, R2, R3, R4, R5, R6, R7, R8",8,Resistor 1% 0805,4.99k,Generic,,
R9,1,Resistor 1% 0805,4.99k 1%,Generic,,
R10,1,Resistor 1% 0805,1 1%,Generic,,
"R11, R12",2,Resistor 1% 0805,10,Generic,,
"R13, R14",2,Resistor 1% 0805,100,Generic,,
R16,1,Resistor 1% 0805,3.92k 1%,Generic,,
R17,1,Resistor 1% 0805,22.1k 1%,Generic,,
R18,1,Resistor 1% 1206,15k 1%,Generic,,
R19,1,Resistor 1% 1206,340k 1%,Generic,,
R20,1,Resistor 5% 1206,120 1/4W,Generic,,
"R101, R102",2,Resistor 0805,NO STUFF (efficiency measurement),,,
"SW1, SW2",2,Tactile Pushbutton 6mmx6mmx15mm TH,,Generic,,
"SW3, SW4",2,Tactile Pushbutton 5.2mmx5.2mm SMD,,Generic,Ex: Shou Han TS5215A,
U1,1,Microcontroller QFP-48,,STMicroelectronics,STM32F042C6T6,
U2,1,Switching Regualtor Controller SOIC-8,,ON Semiconductor,UC3843BD1G,
U3,1,3.3V LDO SOT223,,Diodes Inc,AZ1117EH-3.3,
U4,1,Real Time Clock/TCXO SOIC-8,,Maxim Integrated,DS3231MZ,DS3232MZ should be a functional equivalent (unverified)
